id,Country,RegionOfOrigin,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019
108,AZERBAIJAN,Europe,..,..,183,331,443,359,272,582,747,1051,945,1008,1104,1541,1454,1568,1787,2147.6,2306.4,2108.5,1795.3,1799.4,1971.9,2104.8,2376
109,AZERBAIJAN,Middle East,..,..,..,..,..,..,..,2,2,2,2,2,2,4,3,4,4,5,5.6,5.4,9.3,137.6,260.7,331.1,314.3
110,AZERBAIJAN,South Asia,..,..,106,140,122,242,322,241,253,275,211,165,205,317,340,356,414,292.5,151.7,139.5,159.8,258.5,397.3,326.5,374.4
111,AZERBAIJAN,Other not classified,..,..,12,7,35,79,173,..,..,1,..,1,1,2,2,2,1,2,1.9,1.8,1.6,8.1,7.3,8.5,6.6
113,BAHAMAS,Africa,..,..,..,..,..,2,1,1,1.6,1.6,1.7,2,2.2,2,2,1.9,2,2.4,2.3,2.6,2.7,2.7,3,2.9,3.4
114,BAHAMAS,Americas,1433,1445,1413,1333,1381,1407,1418,1406,1390,1457.5,1516.9,1508.6,1428.3,1350.5,1234.5,1275.6,1252.9,1325.5,1268.9,1328.2,1374,1370.2,1312.1,1485.8,1663.7
115,BAHAMAS,East Asia and the Pacific,20,26,..,..,..,16,11,8,7.6,8.1,8.8,8.5,8.1,8.3,7.5,8.6,8,9.5,9.3,10.3,12.1,12,14,14.7,14.1
116,BAHAMAS,Europe,115,128,130,118,125,104,94,80,102.8,91.6,96.2,92.5,97.5,105.7,90.2,90.2,89.9,91.1,94.5,99.9,103.7,110.9,117.5,123.5,120.7
117,BAHAMAS,Middle East,..,..,..,..,..,1,1,..,0.5,0.8,0.6,0.7,0.8,0.8,0.7,0.6,0.9,0.9,0.8,0.9,1.1,1.1,1.2,1.3,1.2
118,BAHAMAS,South Asia,..,..,..,..,..,..,..,..,0.5,0.5,0.6,0.7,0.8,1,0.8,0.9,0.7,0.9,0.8,0.8,1.1,1,1.8,2.2,2.3
